index,disease_name,supplement name,supplement image,buy link
28,Strawberry___healthy,SWISS GREEN ORGANIC PLANT GROWTH PROMOTER STRAWBERRY Fertilizer,https://ik.imagekit.io/eu4vvexmy7/SWISS%20GREEN%20ORGANIC%20PLANT%20GROWTH%20PROMOTER%20STRAWBERRY%20Fertilizer.png?updatedAt=1748261793539,https://www.flipkart.com/swiss-green-organic-plant-growth-promoter-strawberry-fertilizer-manure/p/itmcaf7955b802fa?pid=SMNFM3TT2RNZEQYD&lid=LSTSMNFM3TT2RNZEQYDIGMSRD&marketplace=FLIPKART&cmpid=content_soil-manure_8965229628_gmc
29,Tomato___Bacterial_spot,CUREAL Best Fungicide & Bactericide,https://ik.imagekit.io/eu4vvexmy7/CUREAL%20Best%20Fungicide%20&%20Bactericide.png?updatedAt=1748261820676,https://agribegri.com/products/cureal---best-fungicide--bactericide-zinc-based-250-ml.php
30,Tomato___Early_blight,NATIVO FUNGICIDE,https://ik.imagekit.io/eu4vvexmy7/NATIVO%20FUNGICIDE.png?updatedAt=1748261802841,https://www.bighaat.com/products/bayer-nativo-fungicide
31,Tomato___Late_blight,ACROBAT FUNGICIDE,https://ik.imagekit.io/eu4vvexmy7/ACROBAT%20FUNGICIDE.png?updatedAt=1748261828288,https://www.bighaat.com/products/acrobat-fungicide?variant=31177935519767&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
32,Tomato___Leaf_Mold,Virus Special (Set of Immuno 1 ltr + Enviro 1 ltr),https://ik.imagekit.io/eu4vvexmy7/Virus%20Special%20(Set%20of%20Immuno%201%20ltr%20+%20Enviro%201%20ltr).png?updatedAt=1748261793136,https://agribegri.com/products/virus-special-enviroimmuno-1-litre.php
33,Tomato___Septoria_leaf_spot,Roko Fungicide,https://ik.imagekit.io/eu4vvexmy7/Roko%20Fungicide.png?updatedAt=1748261796936,https://agribegri.com/products/buy-biostadt-roko-thiophanate-methyl-70-wp.php
34,Tomato___Spider_mites Two-spotted_spider_mite,OMITE INSECTICIDE,https://ik.imagekit.io/eu4vvexmy7/OMITE%20INSECTICIDE.png?updatedAt=1748261801188,https://www.bighaat.com/products/omite-insecticide?variant=31276117196823&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
35,Tomato___Target_Spot,Propi Propineb 70% WP Fungicide for Plants Diesese Control Pesticide,https://ik.imagekit.io/eu4vvexmy7/Propi%20Propineb%2070_%20WP%20Fungicide%20for%20Plants%20Diesese%20Control%20Pesticide.png?updatedAt=1748261799749,https://agribegri.com/products/dfc.php
36,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Syngenta Amistor Top Fungicide,https://ik.imagekit.io/eu4vvexmy7/Syngenta%20Amistor%20Top%20Fungicide.png?updatedAt=1748261792362,https://www.amazon.in/Syngenta-Amistar-Fungicide-200ml-Pack/dp/B09R2F2YD5
37,Tomato___Tomato_mosaic_virus,V Bind Viral Disease Special,https://ik.imagekit.io/eu4vvexmy7/V%20Bind%20Viral%20Disease%20Special.png?updatedAt=1748261792094,https://agribegri.com/products/viricide-online-.php
38,Tomato___healthy,"Tomato Fertilizer Organic, for Home, Balcony, Terrace & Outdoor Gardening",https://ik.imagekit.io/eu4vvexmy7/Tomato%20Fertilizer%20Organic.png?updatedAt=1748261792665,https://www.casagardenshop.com/products/tomato-fertilizer-for-home-terrace-outdoor-gardening?variant=32106353131619&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_campaign=gs-2020-02-08&utm_source=google&utm_medium=smart_campaign
